feature,importance_mean,importance_std,p_value,significant_0_05
macro2_squared_rolling_max_20,0.0,0.0,1.0,False
price/macro2_rolling_ret_20,0.0,0.0,1.0,False
price/firm1_rolling_avg_20,0.0,0.0,1.0,False
macro2_squared_rolling_high/low_20,0.0,0.0,1.0,False
macro2_squared_rolling_range_20,0.0,0.0,1.0,False
macro2_squared_rolling_ret_20,0.0,0.0,1.0,False
macro2_cubed_rolling_avg_20,0.0,0.0,1.0,False
macro2_cubed_rolling_std_20,0.0,0.0,1.0,False
macro2_cubed_rolling_max_20,0.0,0.0,1.0,False
macro2_cubed_rolling_min_20,0.0,0.0,1.0,False
macro2_cubed_rolling_high/low_20,0.0,0.0,1.0,False
macro2_cubed_rolling_range_20,0.0,0.0,1.0,False
macro2_cubed_rolling_ret_20,0.0,0.0,1.0,False
price_lag_1_rolling_avg_20,0.0,0.0,1.0,False
price_lag_1_rolling_std_20,0.0,0.0,1.0,False
price_lag_1_rolling_max_20,0.0,0.0,1.0,False
price_lag_1_rolling_min_20,0.0,0.0,1.0,False
price_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
price/firm3_rolling_std_20,0.0,0.0,1.0,False
price_lag_1_rolling_ret_20,0.0,0.0,1.0,False
price_squared_rolling_avg_20,0.0,0.0,1.0,False
price_squared_rolling_std_20,0.0,0.0,1.0,False
price_squared_rolling_max_20,0.0,0.0,1.0,False
price_squared_rolling_min_20,0.0,0.0,1.0,False
price_squared_rolling_high/low_20,0.0,0.0,1.0,False
price_squared_rolling_range_20,0.0,0.0,1.0,False
price_squared_rolling_ret_20,0.0,0.0,1.0,False
price_cubed_rolling_avg_20,0.0,0.0,1.0,False
price_cubed_rolling_std_20,0.0,0.0,1.0,False
price_cubed_rolling_max_20,0.0,0.0,1.0,False
price_cubed_rolling_min_20,0.0,0.0,1.0,False
price_cubed_rolling_high/low_20,0.0,0.0,1.0,False
price_cubed_rolling_range_20,0.0,0.0,1.0,False
price_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm1_squared_rolling_avg_20,0.0,0.0,1.0,False
firm1_squared_rolling_std_20,0.0,0.0,1.0,False
firm1_squared_rolling_max_20,0.0,0.0,1.0,False
firm1_squared_rolling_min_20,0.0,0.0,1.0,False
firm1_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1_squared_rolling_range_20,0.0,0.0,1.0,False
firm1_squared_rolling_ret_20,0.0,0.0,1.0,False
firm1_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm1_cubed_rolling_std_20,0.0,0.0,1.0,False
price_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1_cubed_rolling_min_20,0.0,0.0,1.0,False
firm1_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm1_cubed_rolling_range_20,0.0,0.0,1.0,False
firm1_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm2_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm2_squared_rolling_avg_20,0.0,0.0,1.0,False
firm2_squared_rolling_std_20,0.0,0.0,1.0,False
firm2_squared_rolling_max_20,0.0,0.0,1.0,False
firm2_squared_rolling_min_20,0.0,0.0,1.0,False
firm1_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm2_squared_rolling_range_20,0.0,0.0,1.0,False
firm2_squared_rolling_ret_20,0.0,0.0,1.0,False
firm2_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm2_cubed_rolling_std_20,0.0,0.0,1.0,False
firm2_cubed_rolling_max_20,0.0,0.0,1.0,False
firm2_cubed_rolling_min_20,0.0,0.0,1.0,False
firm2_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm2_cubed_rolling_range_20,0.0,0.0,1.0,False
firm2_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1_cubed_rolling_max_20,0.0,0.0,1.0,False
firm3_squared_rolling_avg_20,0.0,0.0,1.0,False
firm3_squared_rolling_std_20,0.0,0.0,1.0,False
firm3_squared_rolling_max_20,0.0,0.0,1.0,False
firm3_squared_rolling_min_20,0.0,0.0,1.0,False
firm3_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm3_squared_rolling_range_20,0.0,0.0,1.0,False
firm3_squared_rolling_ret_20,0.0,0.0,1.0,False
firm3_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm3_cubed_rolling_std_20,0.0,0.0,1.0,False
firm3_cubed_rolling_max_20,0.0,0.0,1.0,False
firm3_cubed_rolling_min_20,0.0,0.0,1.0,False
firm3_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm3_cubed_rolling_range_20,0.0,0.0,1.0,False
firm3_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm2_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_avg_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_std_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_max_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_min_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_range_20,0.0,0.0,1.0,False
firm1*firm2_squared_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_std_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_max_20,0.0,0.0,1.0,False
firm3_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_range_20,0.0,0.0,1.0,False
firm1*firm2_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_range_20,0.0,0.0,1.0,False
firm2*firm3_lag_1_rolling_ret_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_avg_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_max_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_min_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_high/low_20,0.0,0.0,1.0,False
firm1*firm2_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_squared_rolling_ret_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_avg_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_std_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_max_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_min_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_high/low_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_range_20,0.0,0.0,1.0,False
firm2*firm3_cubed_rolling_ret_20,0.0,0.0,1.0,False
firm1*firm3_lag_1_rolling_avg_20,0.0,0.0,1.0,False
firm1*firm3_lag_1_rolling_std_20,0.0,0.0,1.0,False
firm1*firm3_lag_1_rolling_max_20,0.0,0.0,1.0,False
firm1*firm3_lag_1_rolling_min_20,0.0,0.0,1.0,False
firm1*firm3_lag_1_rolling_high/low_20,0.0,0.0,1.0,False
